threshold,accuracy,precision,recall,f1
0.3,0.88268156424581,0.5384615384615384,0.875,0.6666666666666666
0.35,0.9162011173184358,0.6363636363636364,0.875,0.7368421052631579
0.4,0.9329608938547486,0.7,0.875,0.7777777777777778
0.45,0.9441340782122905,0.75,0.875,0.8076923076923077
0.5,0.9441340782122905,0.8181818181818182,0.75,0.782608695652174
0.55,0.9385474860335196,0.8421052631578947,0.6666666666666666,0.7441860465116279
0.6,0.9385474860335196,0.8421052631578947,0.6666666666666666,0.7441860465116279
